     d193063* C2019 03 10.80723 10 20 25.34 +09 55 03.5                V     G36
     d193063  C2019 03 10.86209 10 20 22.01 +09 55 06.3                V     G36
     d193063  C2019 03 10.92587 10 20 18.14 +09 55 08.5                V     G36
     d193063  C2019 03 10.99874 10 20 13.60 +09 55 11.1                V     G36
     d193063  C2019 03 11.05181 10 20 10.34 +09 55 13.2                V     G36
     d193063  C2019 03 11.13280 10 20 05.49 +09 55 15.6                V     G36
     d193063  C2019 03 11.83242 10 19 24.38 +09 55 40.4          21.1 RV     G36
     d193063  C2019 03 12.00631 10 19 13.91 +09 55 45.5          22.0 RV     G36
     d193063  C2019 03 12.12702 10 19 06.62 +09 55 48.5          21.7 RV     G36


     d193063  C2019 03 12.12702 10 19 06.62 +09 55 48.5          21.7 RV     G36
     d193064  C2019 03 12.14164 10 19 50.51 +09 53 14.3          21.9 RV     G36
     d193064  C2019 03 12.14530 10 19 50.33 +09 53 14.8          21.9 RV     G36
     d193093* C2019 03 12.81474 10 19 53.30 +09 47 45.6          21.7 RV     G36
     d193093  C2019 03 12.84040 10 19 51.93 +09 47 54.7          22.1 RV     G36
     d193093  C2019 03 12.87173 10 19 50.20 +09 48 06.6          22.2 RV     G36
     d193093  C2019 03 12.90411 10 19 48.40 +09 48 18.4          21.8 RV     G36
     d193093  C2019 03 12.93582 10 19 46.70 +09 48 30.4          22.1 RV     G36
     d193093  C2019 03 12.97290 10 19 44.79 +09 48 43.7          22.3 RV     G36
     d193093  C2019 03 13.01013 10 19 42.61 +09 48 57.7          22.1 RV     G36
     d193093  C2019 03 13.02249 10 19 41.93 +09 49 02.3          22.1 RV     G36
     d193093  C2019 03 13.93820 10 18 54.90 +09 54 37.1          21.4 RV     G36
     d193093  C2019 03 13.99310 10 18 51.90 +09 54 56.7          21.9 RV     G36
     d193093  C2019 03 14.11014 10 18 45.72 +09 55 38.2          21.8 RV     G36
     d193093  C2019 03 13.93820 10 18 54.90 +09 54 37.1          21.4 RV     G36
     d193093  C2019 03 13.99310 10 18 51.90 +09 54 56.7          21.9 RV     G36
     d193093  C2019 03 14.11014 10 18 45.72 +09 55 38.2          21.8 RV     G36
     d193093  C2019 03 13.93820 10 18 54.90 +09 54 37.1          21.4 RV     G36
     d193093  C2019 03 13.99310 10 18 51.90 +09 54 56.7          21.9 RV     G36
     d193093  C2019 03 14.11014 10 18 45.72 +09 55 38.2          21.8 RV     G36
