     JAM054 * C2018 08 10.24355 22 37 12.45 -08 00 09.6          22.3 Ru     W93
     JAM054   C2018 08 10.25215 22 37 12.19 -08 00 12.9          22.4 Ru     W93
     JAM054   C2018 08 10.27575 22 37 11.47 -08 00 22.3          22.7 Ru     W93
     JAM054   C2018 08 10.31752 22 37 10.13 -08 00 38.2          22.8 Ru     W93
     JAM054   C2018 08 12.30900 22 36 11.60 -08 13 43.0          22.8 Ru     W93
     JAM054   C2018 08 12.37796 22 36 09.24 -08 14 10.0          22.9 Ru     W93
     JAM054   C2018 08 14.23375 22 35 10.68 -08 26 53.7          22.1 Ru     W93
     JAM054   C2018 08 14.29330 22 35 08.52 -08 27 19.0          22.5 Ru     W93
     JAM054   C2018 08 14.39787 22 35 04.81 -08 28 01.0          22.4 Ru     W93


     JAM045   C2018 08 14.39787 22 34 23.46 -08 18 13.1                u     W93
     JAM054   C2018 08 14.39787 22 35 04.81 -08 28 01.0          22.4 Ru     W93
     P10JboD  C2018 08 17.40001 22 33 54.201-08 44 12.92         21.0 wU     F51
     P10JboD  C2018 08 17.42204 22 33 53.106-08 44 12.86         21.1 wU     F51
     P10JboD  C2018 08 17.43346 22 33 52.518-08 44 12.90         21.1 wU     F51
     P10JboD  C2018 08 17.40001 22 33 54.201-08 44 12.92         21.0 wU     F51
     P10JboD  C2018 08 17.42204 22 33 53.106-08 44 12.86         21.1 wU     F51
     P10JboD  C2018 08 17.43346 22 33 52.518-08 44 12.90         21.1 wU     F51
