     ALA3DC  *C2022 10 31.55355 03 27 30.19 +14 12 10.4          24.1        568
     ALA3DC  *C2022 10 31.55708 03 27 30.03 +14 12 09.8          23.7        568
     ALA3dD  *C2022 10 31.54652 03 32 17.35 +14 40 50.5          23.2        568
     ALA3df  *C2022 10 31.54652 03 32 56.22 +14 19 13.4          23.6        568
     ALA3dg  *C2022 10 31.54652 03 33 00.18 +14 23 54.6          23.0        568
     ALA3dj  *C2022 10 31.54652 03 32 54.60 +14 24 49.3          23.7        568
     ALA3dm  *C2022 10 31.54652 03 32 31.16 +14 19 53.7          24.2        568
     ALA3dn  *C2022 10 31.54652 03 32 18.62 +14 22 47.6          24.8        568
     ALA3ds  *C2022 10 31.54652 03 31 58.04 +14 28 22.5          24.5        568
     ALA3dv  *C2022 10 31.54652 03 31 55.58 +14 27 39.2          23.0        568
     ALA3dW  *C2022 10 31.54652 03 30 09.43 +14 43 46.8          24.6        568
     ALA3dY  *C2022 10 31.54652 03 30 10.13 +14 42 18.1          24.2        568
     ALA3dZ  *C2022 10 31.54652 03 33 47.76 +14 23 53.1          25.2        568
     ALA3E3  *C2022 10 31.55005 03 28 25.98 +14 03 45.8          24.5        568
     ALA3E3  *C2022 10 31.55355 03 28 25.80 +14 03 45.2          24.6        568
     ALA3E3  *C2022 10 31.55708 03 28 25.61 +14 03 44.4          24.9        568
     ALA3E4  *C2022 10 31.55005 03 28 08.39 +14 06 24.5          23.3        568
     ALA3E4  *C2022 10 31.55355 03 28 08.19 +14 06 23.8          23.3        568
     ALA3E4  *C2022 10 31.55708 03 28 07.98 +14 06 23.1          23.4        568
     ALA3e7  *C2022 10 31.54652 03 30 36.16 +14 20 29.1          24.5        568
     ALA3eE  *C2022 10 31.54652 03 30 13.23 +14 21 51.6          24.1        568
     ALA3eu  *C2022 10 31.54652 03 30 04.57 +14 04 13.3          23.8        568
     ALA3fg  *C2022 10 31.54652 03 29 36.47 +14 06 41.4          24.9        568
     ALA3fi  *C2022 10 31.55005 03 29 42.39 +14 24 44.5          23.9        568
     ALA3fi  *C2022 10 31.55355 03 29 42.22 +14 24 43.9          24.3        568
     ALA3fi  *C2022 10 31.55708 03 29 42.05 +14 24 43.2          23.9        568
     ALA3fo  *C2022 10 31.55005 03 27 59.71 +14 28 40.1          22.0        568
     ALA3fo  *C2022 10 31.55355 03 27 59.59 +14 28 39.6          22.1        568
     ALA3fo  *C2022 10 31.55708 03 27 59.49 +14 28 39.0          22.1        568
     ALA3fU  *C2022 10 31.54652 03 29 35.46 +14 17 34.7          23.9        568
     ALA3fv  *C2022 10 31.55005 03 27 00.35 +14 25 09.4          24.6        568
     ALA3fv  *C2022 10 31.55355 03 27 00.08 +14 25 08.2          23.9        568
     ALA3fv  *C2022 10 31.55708 03 26 59.83 +14 25 07.1          23.7        568
     ALA3fw  *C2022 10 31.55005 03 27 04.01 +14 27 03.6          24.4        568
     ALA3fw  *C2022 10 31.55355 03 27 03.77 +14 27 02.9          24.4        568
     ALA3fw  *C2022 10 31.55708 03 27 03.54 +14 27 02.0          24.4        568
     ALA3fX  *C2022 10 31.54652 03 29 45.51 +14 26 51.9          24.5        568
     ALA3fY  *C2022 10 31.54652 03 29 51.18 +14 16 35.7          24.2        568
     ALA3Fz  *C2022 10 31.55005 03 28 46.30 +14 02 01.3          22.9        568
     ALA3Fz  *C2022 10 31.55355 03 28 46.15 +14 02 00.8          22.9        568
     ALA3Fz  *C2022 10 31.55708 03 28 45.97 +14 02 00.0          23.1        568
     ALA3g8  *C2022 10 31.55005 03 29 17.62 +14 09 29.4          24.6        568
     ALA3g8  *C2022 10 31.55355 03 29 17.51 +14 09 28.4          24.6        568
     ALA3g8  *C2022 10 31.55708 03 29 17.38 +14 09 27.2          24.5        568
     ALA3gA  *C2022 10 31.55005 03 28 54.70 +14 06 06.2          24.2        568
     ALA3gA  *C2022 10 31.55355 03 28 54.50 +14 06 05.3          23.5        568
     ALA3gA  *C2022 10 31.55708 03 28 54.24 +14 06 04.2          24.4        568
     ALA3gK   C2022 10 31.55005 03 27 53.611+14 03 52.88         23.4 G      T14
     ALA3gK   C2022 10 31.55355 03 27 53.400+14 03 47.20         23.9 G      T14
