     d193008* C2019 03 02.88727 10 24 21.71 +09 34 01.9          21.6 RV     G36
     d193008  C2019 03 02.92752 10 24 19.57 +09 34 21.8          22.4 RV     G36
     d193008  C2019 03 02.96042 10 24 17.84 +09 34 37.3          21.7 RV     G36
     d193008  C2019 03 02.98602 10 24 16.55 +09 34 49.4          22.2 RV     G36
     d193008  C2019 03 03.01894 10 24 14.71 +09 35 05.6          22.1 RV     G36
     d193008  C2019 03 03.10668 10 24 10.08 +09 35 46.0          21.9 RV     G36
     d193008  C2019 03 03.83592 10 23 34.50 +09 41 32.7                V     G36
     d193008  C2019 03 03.99705 10 23 26.06 +09 42 49.8                V     G36
     d193008  C2019 03 04.12048 10 23 19.59 +09 43 47.1                V     G36


     d193004  C2019 03 04.12048 10 23 11.04 +09 39 28.8          21.6 RV     G36
     d193008  C2019 03 04.12048 10 23 19.59 +09 43 47.1                V     G36
     d193030* C2019 03 04.81839 10 23 48.63 +09 41 46.9                V     G36
     d193030  C2019 03 04.87007 10 23 46.18 +09 41 54.4                V     G36
     d193030  C2019 03 04.91395 10 23 44.00 +09 42 01.4                V     G36
     d193030  C2019 03 04.93224 10 23 43.08 +09 42 04.0                V     G36
     d193030  C2019 03 04.99440 10 23 40.20 +09 42 13.2                V     G36
     d193030  C2019 03 05.03829 10 23 38.01 +09 42 20.6                V     G36
     d193030  C2019 03 05.14795 10 23 32.91 +09 42 38.2                V     G36
     d193030  C2019 03 04.99440 10 23 40.20 +09 42 13.2                V     G36
     d193030  C2019 03 05.03829 10 23 38.01 +09 42 20.6                V     G36
     d193030  C2019 03 05.14795 10 23 32.91 +09 42 38.2                V     G36
     d193030  C2019 03 04.99440 10 23 40.20 +09 42 13.2                V     G36
     d193030  C2019 03 05.03829 10 23 38.01 +09 42 20.6                V     G36
     d193030  C2019 03 05.14795 10 23 32.91 +09 42 38.2                V     G36
