     d172020* C2017 02 25.79839 08 28 15.06 +32 10 46.6                t     G36
     d172020  C2017 02 25.81741 08 28 14.48 +32 10 46.3                t     G36
     d172020  C2017 02 25.84406 08 28 13.62 +32 10 45.4                t     G36
     d172020  C2017 02 25.86093 08 28 13.11 +32 10 44.6                t     G36
     d172020  C2017 02 25.90275 08 28 11.85 +32 10 42.5                t     G36
     d172020  C2017 02 25.96801 08 28 09.77 +32 10 39.1                t     G36
     d172020  C2017 02 25.97881 08 28 09.41 +32 10 38.4                t     G36
     d172020  C2017 02 26.05805 08 28 07.00 +32 10 33.7                t     G36
     d172020  C2017 02 26.11107 08 28 05.42 +32 10 29.2                t     G36
     d172020  C2017 02 26.88223 08 27 44.30 +32 09 44.4          18.9 Rt     G36
     d172020  C2017 02 26.89910 08 27 43.75 +32 09 43.6          19.2 Rt     G36
     d172020  C2017 02 27.86605 08 27 18.33 +32 08 35.1                t     G36
     d172020  C2017 02 27.89418 08 27 17.59 +32 08 33.2                t     G36
     d172020  C2017 02 27.93839 08 27 16.33 +32 08 29.9                t     G36
     d172020  C2017 02 27.96777 08 27 15.59 +32 08 27.0                t     G36


     d172020  C2017 02 27.96777 08 27 15.59 +32 08 27.0                t     G36
