     JAM045 * C2018 08 10.24355 22 36 52.15 -07 34 52.0          22.5 Ru     W93
     JAM045   C2018 08 10.25215 22 36 51.84 -07 34 57.8          21.9 Ru     W93
     JAM045   C2018 08 10.27575 22 36 50.99 -07 35 12.1          21.8 Ru     W93
     JAM045   C2018 08 10.31752 22 36 49.49 -07 35 37.4          21.9 Ru     W93
     JAM045   C2018 08 12.30900 22 35 40.47 -07 56 08.1          22.0 Ru     W93
     JAM045   C2018 08 12.37796 22 35 37.83 -07 56 51.0                u     W93
     JAM045   C2018 08 14.23375 22 34 30.01 -08 16 28.5          21.8 Ru     W93
     JAM045   C2018 08 14.29330 22 34 27.64 -08 17 06.7                u     W93
     JAM045   C2018 08 14.39787 22 34 23.46 -08 18 13.1                u     W93


     JAM045   C2018 08 14.39787 22 34 23.46 -08 18 13.1                u     W93
     JAM054   C2018 08 14.39787 22 35 04.81 -08 28 01.0          22.4 Ru     W93
